model_name,split,site_id,row_count,MAE,RMSE,normalized_MAE_by_site_mean,normalized_RMSE_by_site_mean,MBE,underestimation_rate,peak_MAE,peak_underestimation_rate
Average_24h_168h,validation,California_Garage_02,2657,6.7348771897169835,10.230311998043716,0.42939401074997746,0.6522516411688577,0.10211781040249247,33.3082423786225,36.84011317587425,100.0
Zero_Load,validation,California_Garage_02,2657,6.760769255215549,12.307353415311248,0.431044805194753,0.7846770914823477,-6.760769255215549,52.239367707941284,52.49074410898026,100.0
Persistence_24h,validation,California_Garage_02,2657,7.307992409051692,11.985375067976793,0.46593398552898674,0.7641487922955884,0.029110540913217128,34.21151674821227,36.36560893924612,92.5925925925926
Persistence_168h,validation,California_Garage_02,2657,7.764141340577438,12.145692020857219,0.49501656768894264,0.774370083263395,0.17512507989176798,35.679337598795634,37.676984840572956,100.0
Global_Train_Mean,validation,California_Garage_02,2657,9.921512241501176,11.478755151340222,0.632563566353942,0.7318483431853147,5.098908967349191,21.339856981558146,40.63106588641552,100.0
Site_Train_Mean,validation,California_Garage_02,2657,12.30312006564449,13.61608842369865,0.7844071867845914,0.8681178073900401,8.923839801053958,16.560030109145654,36.80613505271075,100.0
Ridge_Regression_All_Features,validation,N_Wilson_Garage_01,1322,23.512558724029486,71.07917236215461,1.9842215471903013,5.998361429430603,-1.9238727845235735,39.636913767019664,41.36094380065414,85.75
Linear_Regression_All_Features,validation,N_Wilson_Garage_01,1322,23.51294486199476,71.07801141576198,1.9842541333192667,5.998263457326655,-1.9198243750639299,39.636913767019664,41.35562734184684,85.75
Persistence_1h,validation,N_Wilson_Garage_01,1322,25.50590670250113,89.42480147977486,2.152439904722332,7.546546508698127,-0.015017067044071497,41.67927382753404,47.80832421053213,71.0
Global_Train_Mean,validation,N_Wilson_Garage_01,1322,27.05176072548786,74.51358414048603,2.282894309843555,6.288190959788136,-19.849275345936917,55.748865355521936,67.21826922616707,100.0
Site_Train_Mean,validation,N_Wilson_Garage_01,1322,27.05290053955639,74.51622552618632,2.282990498593623,6.288413865958513,-19.859188728822463,55.748865355521936,67.2281826090526,100.0
Average_24h_168h,validation,N_Wilson_Garage_01,1322,28.28807532083323,86.41777739431377,2.387226725893327,7.2927841660572,0.03267849656400239,44.024205748865356,45.12394970809068,79.5
Persistence_24h,validation,N_Wilson_Garage_01,1322,31.256736932664925,99.55359968804218,2.6377516647419923,8.401314375006395,0.04421981742493653,47.655068078668684,50.38580698679217,75.5
Persistence_168h,validation,N_Wilson_Garage_01,1322,31.5127172946632,99.00452623963362,2.65935381174335,8.354978143373344,0.021137175703068355,48.18456883509833,51.7020597524963,75.5
Zero_Load,validation,N_Wilson_Garage_01,1322,31.708953568501656,78.5094785749585,2.6759141634881676,6.625403933086317,-31.708953568501656,86.30862329803328,79.0779474487318,100.0
Persistence_1h,validation,Parking_Lot_01,2223,0.24330958602455702,1.0319106987360718,0.10891653424238106,0.46193057491217415,3.995404497076587e-19,10.121457489878543,1.8831269101910493,58.333333333333336
Zero_Load,validation,Parking_Lot_01,2223,0.6008848681714589,1.8478141835361286,0.2689836368112512,0.8271664100170611,-0.6008848681714589,18.75843454790823,10.80158590133785,100.0
Average_24h_168h,validation,Parking_Lot_01,2223,0.8176133119588812,1.881812106412904,0.3660012321915182,0.8423854401904322,0.022596618945337193,13.990103463787673,8.495454429957826,100.0
Persistence_168h,validation,Parking_Lot_01,2223,0.8403682357212509,2.187351262734606,0.3761873801096556,0.979158785316843,0.025649024702481864,15.429599640125957,7.534796029118103,100.0
Persistence_24h,validation,Parking_Lot_01,2223,0.8735074839745178,2.236540940566423,0.3910220281238091,1.0011783420366511,0.019544213188192504,13.720197930724245,9.456112830797553,100.0
Ridge_Regression_All_Features,validation,Parking_Lot_01,2223,1.0898477792646943,2.135549233274676,0.48786587042766777,0.9559698201482949,0.9915214324097053,3.8236617183985606,2.141883497468261,75.0
Linear_Regression_All_Features,validation,Parking_Lot_01,2223,1.1039316397850343,2.1509105651619187,0.49417045259268655,0.9628462571101192,1.0071315175320155,3.8686459739091315,2.12261828677515,75.0
Site_Train_Mean,validation,Parking_Lot_01,2223,2.2688113414043456,2.391677496172461,1.015624054083213,1.070624582306053,1.6330237639477005,10.211426000899685,8.567677269218692,100.0
