scenario_id,horizon_scenario,charger_power_kw,capacity_scenario,forecast_signal_scenario,comparison_strategy,peak_reduction_difference,capacity_violation_difference,unserved_energy_difference,energy_delivery_difference,uncertainty_aware_best_for_capacity_risk,uncertainty_aware_best_for_peak_reduction,uncertainty_aware_safer_but_more_conservative
27,original_calendar_aligned,7.2,capacity_historical_peak,upper_bound,peak_sensitive,0.0,0,6.938893903907228e-18,0.0,True,False,False
27,original_calendar_aligned,7.2,capacity_historical_peak,upper_bound,point_forecast,0.0,0,6.938893903907228e-18,0.0,True,False,False
27,original_calendar_aligned,7.2,capacity_historical_peak,upper_bound,uncontrolled,29.48512307843752,0,-2.42861286636753e-16,1.4551915228366852e-11,True,False,False
27,original_calendar_aligned,7.2,capacity_historical_peak,upper_bound,valley_filling,-26.805115842859646,0,-1.196959198423997e-16,1.4551915228366852e-11,True,False,True
28,original_calendar_aligned,7.2,capacity_mean_plus_2std,eahpa_point,peak_sensitive,0.0,0,8.673617379884035e-18,0.0,False,False,False
28,original_calendar_aligned,7.2,capacity_mean_plus_2std,eahpa_point,point_forecast,0.0,0,8.673617379884035e-18,0.0,False,False,False
28,original_calendar_aligned,7.2,capacity_mean_plus_2std,eahpa_point,uncontrolled,46.04462077783258,-194,-2.5673907444456745e-16,1.4551915228366852e-11,False,False,False
28,original_calendar_aligned,7.2,capacity_mean_plus_2std,eahpa_point,valley_filling,-10.24561814346459,10,-1.3357370765021415e-16,1.4551915228366852e-11,False,False,False
29,original_calendar_aligned,7.2,capacity_mean_plus_2std,prc_peak_sensitive,peak_sensitive,0.0,0,8.673617379884035e-18,0.0,False,False,False
29,original_calendar_aligned,7.2,capacity_mean_plus_2std,prc_peak_sensitive,point_forecast,0.0,0,8.673617379884035e-18,0.0,False,False,False
29,original_calendar_aligned,7.2,capacity_mean_plus_2std,prc_peak_sensitive,uncontrolled,46.04462077783258,-194,-2.5673907444456745e-16,1.4551915228366852e-11,False,False,False
29,original_calendar_aligned,7.2,capacity_mean_plus_2std,prc_peak_sensitive,valley_filling,-10.24561814346459,10,-1.3357370765021415e-16,1.4551915228366852e-11,False,False,False
30,original_calendar_aligned,7.2,capacity_mean_plus_2std,upper_bound,peak_sensitive,0.0,0,8.673617379884035e-18,0.0,False,False,False
30,original_calendar_aligned,7.2,capacity_mean_plus_2std,upper_bound,point_forecast,0.0,0,8.673617379884035e-18,0.0,False,False,False
30,original_calendar_aligned,7.2,capacity_mean_plus_2std,upper_bound,uncontrolled,46.04462077783258,-194,-2.5673907444456745e-16,1.4551915228366852e-11,False,False,False
30,original_calendar_aligned,7.2,capacity_mean_plus_2std,upper_bound,valley_filling,-10.24561814346459,10,-1.3357370765021415e-16,1.4551915228366852e-11,False,False,False
31,original_calendar_aligned,11.0,capacity_p90,eahpa_point,peak_sensitive,0.0,0,0.0,0.0,False,False,False
31,original_calendar_aligned,11.0,capacity_p90,eahpa_point,point_forecast,0.0,0,0.0,0.0,False,False,False
31,original_calendar_aligned,11.0,capacity_p90,eahpa_point,uncontrolled,58.28846468001858,-282,-4.640385298237959e-17,0.0,False,False,False
31,original_calendar_aligned,11.0,capacity_p90,eahpa_point,valley_filling,-5.014092744675672,33,-3.165870343657673e-17,0.0,False,False,False
32,original_calendar_aligned,11.0,capacity_p90,prc_peak_sensitive,peak_sensitive,0.0,0,0.0,0.0,False,False,False
32,original_calendar_aligned,11.0,capacity_p90,prc_peak_sensitive,point_forecast,0.0,0,0.0,0.0,False,False,False
32,original_calendar_aligned,11.0,capacity_p90,prc_peak_sensitive,uncontrolled,58.28846468001858,-282,-4.640385298237959e-17,0.0,False,False,False
32,original_calendar_aligned,11.0,capacity_p90,prc_peak_sensitive,valley_filling,-5.014092744675672,33,-3.165870343657673e-17,0.0,False,False,False
33,original_calendar_aligned,11.0,capacity_p90,upper_bound,peak_sensitive,0.0,0,0.0,0.0,False,False,False
33,original_calendar_aligned,11.0,capacity_p90,upper_bound,point_forecast,0.0,0,0.0,0.0,False,False,False
33,original_calendar_aligned,11.0,capacity_p90,upper_bound,uncontrolled,58.28846468001858,-282,-4.640385298237959e-17,0.0,False,False,False
33,original_calendar_aligned,11.0,capacity_p90,upper_bound,valley_filling,-5.014092744675672,33,-3.165870343657673e-17,0.0,False,False,False
34,original_calendar_aligned,11.0,capacity_p95,eahpa_point,peak_sensitive,0.0,0,0.0,0.0,False,False,False
34,original_calendar_aligned,11.0,capacity_p95,eahpa_point,point_forecast,0.0,0,0.0,0.0,False,False,False
34,original_calendar_aligned,11.0,capacity_p95,eahpa_point,uncontrolled,50.599086936150584,-164,-4.5102810375396984e-17,0.0,False,False,False
34,original_calendar_aligned,11.0,capacity_p95,eahpa_point,valley_filling,-12.703470488543665,5,-3.0357660829594124e-17,0.0,False,False,False
35,original_calendar_aligned,11.0,capacity_p95,prc_peak_sensitive,peak_sensitive,0.0,0,0.0,0.0,False,False,False
35,original_calendar_aligned,11.0,capacity_p95,prc_peak_sensitive,point_forecast,0.0,0,0.0,0.0,False,False,False
35,original_calendar_aligned,11.0,capacity_p95,prc_peak_sensitive,uncontrolled,50.599086936150584,-164,-4.5102810375396984e-17,0.0,False,False,False
35,original_calendar_aligned,11.0,capacity_p95,prc_peak_sensitive,valley_filling,-12.703470488543665,5,-3.0357660829594124e-17,0.0,False,False,False
36,original_calendar_aligned,11.0,capacity_p95,upper_bound,peak_sensitive,0.0,0,0.0,0.0,False,False,False
36,original_calendar_aligned,11.0,capacity_p95,upper_bound,point_forecast,0.0,0,0.0,0.0,False,False,False
36,original_calendar_aligned,11.0,capacity_p95,upper_bound,uncontrolled,50.599086936150584,-164,-4.5102810375396984e-17,0.0,False,False,False
36,original_calendar_aligned,11.0,capacity_p95,upper_bound,valley_filling,-12.703470488543665,5,-3.0357660829594124e-17,0.0,False,False,False
37,original_calendar_aligned,11.0,capacity_p95_plus_10percent,eahpa_point,peak_sensitive,0.0,0,0.0,0.0,False,False,False
37,original_calendar_aligned,11.0,capacity_p95_plus_10percent,eahpa_point,point_forecast,0.0,0,0.0,0.0,False,False,False
37,original_calendar_aligned,11.0,capacity_p95_plus_10percent,eahpa_point,uncontrolled,49.52062209003164,-143,-5.334274688628682e-17,0.0,False,False,False
37,original_calendar_aligned,11.0,capacity_p95_plus_10percent,eahpa_point,valley_filling,-13.781935334662613,1,-3.859759734048396e-17,0.0,False,False,False
38,original_calendar_aligned,11.0,capacity_p95_plus_10percent,prc_peak_sensitive,peak_sensitive,0.0,0,0.0,0.0,False,False,False
38,original_calendar_aligned,11.0,capacity_p95_plus_10percent,prc_peak_sensitive,point_forecast,0.0,0,0.0,0.0,False,False,False
38,original_calendar_aligned,11.0,capacity_p95_plus_10percent,prc_peak_sensitive,uncontrolled,49.52062209003164,-143,-5.334274688628682e-17,0.0,False,False,False
38,original_calendar_aligned,11.0,capacity_p95_plus_10percent,prc_peak_sensitive,valley_filling,-13.781935334662613,1,-3.859759734048396e-17,0.0,False,False,False
39,original_calendar_aligned,11.0,capacity_p95_plus_10percent,upper_bound,peak_sensitive,0.0,0,0.0,0.0,False,False,False
39,original_calendar_aligned,11.0,capacity_p95_plus_10percent,upper_bound,point_forecast,0.0,0,0.0,0.0,False,False,False
39,original_calendar_aligned,11.0,capacity_p95_plus_10percent,upper_bound,uncontrolled,49.52062209003164,-143,-5.334274688628682e-17,0.0,False,False,False
39,original_calendar_aligned,11.0,capacity_p95_plus_10percent,upper_bound,valley_filling,-13.781935334662613,1,-3.859759734048396e-17,0.0,False,False,False
40,original_calendar_aligned,11.0,capacity_historical_peak,eahpa_point,peak_sensitive,0.0,0,0.0,0.0,True,False,False
40,original_calendar_aligned,11.0,capacity_historical_peak,eahpa_point,point_forecast,0.0,0,0.0,0.0,True,False,False
40,original_calendar_aligned,11.0,capacity_historical_peak,eahpa_point,uncontrolled,39.3059431350189,0,-5.637851296924623e-17,0.0,True,False,False
40,original_calendar_aligned,11.0,capacity_historical_peak,eahpa_point,valley_filling,-23.99661428967535,0,-4.163336342344337e-17,0.0,True,False,True
41,original_calendar_aligned,11.0,capacity_historical_peak,prc_peak_sensitive,peak_sensitive,0.0,0,0.0,0.0,True,False,False
41,original_calendar_aligned,11.0,capacity_historical_peak,prc_peak_sensitive,point_forecast,0.0,0,0.0,0.0,True,False,False
41,original_calendar_aligned,11.0,capacity_historical_peak,prc_peak_sensitive,uncontrolled,39.3059431350189,0,-5.637851296924623e-17,0.0,True,False,False
41,original_calendar_aligned,11.0,capacity_historical_peak,prc_peak_sensitive,valley_filling,-23.99661428967535,0,-4.163336342344337e-17,0.0,True,False,True
42,original_calendar_aligned,11.0,capacity_historical_peak,upper_bound,peak_sensitive,0.0,0,0.0,0.0,True,False,False
42,original_calendar_aligned,11.0,capacity_historical_peak,upper_bound,point_forecast,0.0,0,0.0,0.0,True,False,False
42,original_calendar_aligned,11.0,capacity_historical_peak,upper_bound,uncontrolled,39.3059431350189,0,-5.637851296924623e-17,0.0,True,False,False
42,original_calendar_aligned,11.0,capacity_historical_peak,upper_bound,valley_filling,-23.99661428967535,0,-4.163336342344337e-17,0.0,True,False,True
43,original_calendar_aligned,11.0,capacity_mean_plus_2std,eahpa_point,peak_sensitive,0.0,0,0.0,0.0,False,False,False
43,original_calendar_aligned,11.0,capacity_mean_plus_2std,eahpa_point,point_forecast,0.0,0,0.0,0.0,False,False,False
43,original_calendar_aligned,11.0,capacity_mean_plus_2std,eahpa_point,uncontrolled,54.18399583414165,-177,-4.90059381963448e-17,0.0,False,False,False
43,original_calendar_aligned,11.0,capacity_mean_plus_2std,eahpa_point,valley_filling,-9.118561590552602,7,-3.426078865054194e-17,0.0,False,False,False
44,original_calendar_aligned,11.0,capacity_mean_plus_2std,prc_peak_sensitive,peak_sensitive,0.0,0,0.0,0.0,False,False,False
44,original_calendar_aligned,11.0,capacity_mean_plus_2std,prc_peak_sensitive,point_forecast,0.0,0,0.0,0.0,False,False,False
44,original_calendar_aligned,11.0,capacity_mean_plus_2std,prc_peak_sensitive,uncontrolled,54.18399583414165,-177,-4.90059381963448e-17,0.0,False,False,False
44,original_calendar_aligned,11.0,capacity_mean_plus_2std,prc_peak_sensitive,valley_filling,-9.118561590552602,7,-3.426078865054194e-17,0.0,False,False,False
45,original_calendar_aligned,11.0,capacity_mean_plus_2std,upper_bound,peak_sensitive,0.0,0,0.0,0.0,False,False,False
45,original_calendar_aligned,11.0,capacity_mean_plus_2std,upper_bound,point_forecast,0.0,0,0.0,0.0,False,False,False
45,original_calendar_aligned,11.0,capacity_mean_plus_2std,upper_bound,uncontrolled,54.18399583414165,-177,-4.90059381963448e-17,0.0,False,False,False
45,original_calendar_aligned,11.0,capacity_mean_plus_2std,upper_bound,valley_filling,-9.118561590552602,7,-3.426078865054194e-17,0.0,False,False,False
46,shorter_high_confidence,6.6,capacity_p90,eahpa_point,peak_sensitive,0.0,0,8.326672684688674e-17,0.0,False,False,False
46,shorter_high_confidence,6.6,capacity_p90,eahpa_point,point_forecast,0.0,0,8.326672684688674e-17,0.0,False,False,False
46,shorter_high_confidence,6.6,capacity_p90,eahpa_point,uncontrolled,51.76799716326035,-51,-8.326672684688674e-17,0.0,False,False,False
46,shorter_high_confidence,6.6,capacity_p90,eahpa_point,valley_filling,-2.8021449891744794,4,2.7755575615628914e-17,0.0,False,False,False
47,shorter_high_confidence,6.6,capacity_p90,prc_peak_sensitive,peak_sensitive,0.0,0,8.326672684688674e-17,0.0,False,False,False
47,shorter_high_confidence,6.6,capacity_p90,prc_peak_sensitive,point_forecast,0.0,0,8.326672684688674e-17,0.0,False,False,False
